TICKER	DATE	OPEN	HIGH	LOW	CLOSE	VOL	WAPRICE
RTSI	1995-09-01	100	100	100	100		
RTSI	1995-09-04	99.8	99.8	99.8	99.8		
RTSI	1995-09-05	100.42	100.42	100.42	100.42		
RTSI	1995-09-06	99.74	99.74	99.74	99.74		
RTSI	1995-09-07	101.3	101.3	101.3	101.3		
RTSI	1995-09-08	101.3	101.3	101.3	101.3		
RTSI	1995-09-11	100.84	100.84	100.84	100.84		
RTSI	1995-09-12	100.24	100.24	100.24	100.24		
RTSI	1995-09-13	99.16	99.16	99.16	99.16		
RTSI	1995-09-14	98.8	98.8	98.8	98.8		
RTSI	1995-09-15	99.3	99.3	99.3	99.3		
RTSI	1995-09-18	99.84	99.84	99.84	99.84		
RTSI	1995-09-19	99.54	99.54	99.54	99.54		
RTSI	1995-09-20	99.19	99.19	99.19	99.19		
RTSI	1995-09-21	96.27	96.27	96.27	96.27		
RTSI	1995-09-22	94.03	94.03	94.03	94.03		
RTSI	1995-09-25	91.16	91.16	91.16	91.16		
RTSI	1995-09-26	87.98	87.98	87.98	87.98		
RTSI	1995-09-27	88.17	88.17	88.17	88.17		
RTSI	1995-09-28	89.07	89.07	89.07	89.07		
RTSI	1995-09-29	86.09	86.09	86.09	86.09		
RTSI	1995-10-02	83	83	83	83		
RTSI	1995-10-03	78.39	78.39	78.39	78.39		
RTSI	1995-10-04	72.06	72.06	72.06	72.06		
RTSI	1995-10-05	75.03	75.03	75.03	75.03		
RTSI	1995-10-06	74.16	74.16	74.16	74.16		
RTSI	1995-10-09	77.27	77.27	77.27	77.27		
RTSI	1995-10-10	76.42	76.42	76.42	76.42		
RTSI	1995-10-11	75.8	75.8	75.8	75.8		
RTSI	1995-10-12	76.48	76.48	76.48	76.48		
RTSI	1995-10-13	77.48	77.48	77.48	77.48		
RTSI	1995-10-16	78.1	78.1	78.1	78.1		
RTSI	1995-10-17	78.66	78.66	78.66	78.66		
RTSI	1995-10-18	79	79	79	79		
RTSI	1995-10-19	79.26	79.26	79.26	79.26		
RTSI	1995-10-20	79.35	79.35	79.35	79.35		
RTSI	1995-10-23	79.16	79.16	79.16	79.16		
RTSI	1995-10-24	79.08	79.08	79.08	79.08		
RTSI	1995-10-25	79.14	79.14	79.14	79.14		
RTSI	1995-10-26	78.11	78.11	78.11	78.11		
RTSI	1995-10-27	75.86	75.86	75.86	75.86		
RTSI	1995-10-30	74.88	74.88	74.88	74.88		
RTSI	1995-10-31	73.56	73.56	73.56	73.56		
RTSI	1995-11-01	72.7	72.7	72.7	72.7		
RTSI	1995-11-02	68.09	68.09	68.09	68.09		
RTSI	1995-11-03	69.98	69.98	69.98	69.98		
